,MT_001,MT_002,MT_003,MT_004,MT_005,MT_006,MT_007,MT_008,MT_009,MT_010,MT_011,MT_012,MT_013,MT_014,MT_015,MT_016,MT_017,MT_018,MT_019,MT_020
2013-01-01 00:00:00,1.26903553299492,23.4708392603129,3.47523892267593,142.276422764228,60.9756097560976,273.809523809524,5.08762012436405,259.259259259259,64.6853146853147,76.3440860215054,59.6125186289121,0.0,38.971807628524,32.5462667517549,0.0,42.1412300683371,66.4869721473495,367.41214057508,11.5577889447236,60.7929515418502
2013-01-01 00:15:00,2.53807106598985,22.7596017069701,2.60642919200695,138.211382113821,63.4146341463415,255.952380952381,4.52232899943471,239.057239057239,57.6923076923077,78.494623655914,61.8479880774963,0.0,38.1426202321725,33.8225909380983,0.0,39.2938496583144,70.0808625336927,341.85303514377,11.0552763819095,57.2687224669604
2013-01-01 00:30:00,1.26903553299492,22.7596017069701,2.60642919200695,138.211382113821,63.4146341463415,264.880952380952,5.65291124929339,228.956228956229,57.6923076923077,76.3440860215054,64.8286140089419,0.0,43.9469320066335,35.7370772176133,0.0,38.7243735763098,72.7762803234501,335.463258785943,9.54773869346734,52.863436123348
2013-01-01 00:45:00,2.53807106598985,22.7596017069701,2.60642919200695,134.146341463415,60.9756097560976,250.0,5.65291124929339,239.057239057239,54.1958041958042,76.3440860215054,62.5931445603577,0.0,39.8009950248756,33.8225909380983,0.0,41.002277904328,69.1823899371069,380.191693290735,11.5577889447236,50.2202643171806
2013-01-01 01:00:00,1.26903553299492,23.4708392603129,2.60642919200695,130.081300813008,56.0975609756098,226.190476190476,6.21820237422272,249.158249158249,50.6993006993007,75.2688172043011,59.6125186289121,0.0,37.3134328358209,34.4607530312699,0.0,41.5717539863326,63.7915543575921,351.437699680511,11.0552763819095,58.1497797356828
2013-01-01 01:15:00,3.80710659898477,23.4708392603129,2.60642919200695,130.081300813008,58.5365853658537,229.166666666667,6.78349349915206,239.057239057239,57.6923076923077,74.1935483870968,64.8286140089419,0.0,44.7761194029851,35.7370772176133,0.0,41.002277904328,63.7915543575921,322.683706070288,10.0502512562814,49.3392070484581
2013-01-01 01:30:00,1.26903553299492,23.4708392603129,2.60642919200695,130.081300813008,58.5365853658537,220.238095238095,6.78349349915206,245.791245791246,54.1958041958042,73.1182795698925,62.5931445603577,0.0,49.7512437810945,33.1844288449266,0.0,39.2938496583144,66.4869721473495,316.29392971246,10.0502512562814,50.2202643171806
2013-01-01 01:45:00,2.53807106598985,24.1820768136558,2.60642919200695,132.113821138211,57.3170731707317,217.261904761905,5.65291124929339,239.057239057239,52.4475524475525,68.8172043010753,55.8867362146051,0.0,45.6053067993367,33.1844288449266,0.0,37.0159453302961,65.5884995507637,316.29392971246,11.5577889447236,48.4581497797357
2013-01-01 02:00:00,2.53807106598985,24.8933143669986,2.60642919200695,136.178861788618,56.0975609756098,223.214285714286,5.65291124929339,232.323232323232,52.4475524475525,70.9677419354839,52.9061102831595,0.0,39.8009950248756,35.7370772176133,0.0,37.5854214123007,56.6037735849057,319.488817891374,10.0502512562814,44.0528634361233
2013-01-01 02:15:00,1.26903553299492,24.1820768136558,2.60642919200695,130.081300813008,52.4390243902439,223.214285714286,4.52232899943471,249.158249158249,50.6993006993007,69.8924731182796,48.4351713859911,0.0,49.7512437810945,35.7370772176133,0.0,42.7107061503417,59.2991913746631,309.904153354633,10.0502512562814,41.4096916299559
2013-01-01 02:30:00,2.53807106598985,23.4708392603129,2.60642919200695,123.983739837398,50.0,223.214285714286,5.65291124929339,252.525252525253,50.6993006993007,68.8172043010753,48.4351713859911,0.0,45.6053067993367,37.0134014039566,0.0,41.5717539863326,58.4007187780773,306.709265175719,9.54773869346734,39.647577092511
